Designator,Val,Package,MidX,MidY,Rotation,Layer
J1,Conn_Coaxial,031532951RFX,63.5,-47.625,0,top
J2,Conn_Coaxial,031532951RFX,88.9,-47.625,0,top
J3,Conn_Coaxial,031532951RFX,114.3,-47.625,0,top
J4,Conn_Coaxial,031532951RFX,139.7,-47.625,0,top
J5,Conn_Coaxial,031532951RFX,165.1,-47.625,0,top
J6,Conn_Coaxial,031532951RFX,190.5,-47.625,0,top
J7,Conn_Coaxial,031532951RFX,215.9,-47.625,0,top
J8,Conn_Coaxial,031532951RFX,241.3,-47.625,0,top
J9,Conn_Coaxial,031532951RFX,266.7,-47.625,0,top
J10,Conn_Coaxial,031532951RFX,292.1,-47.625,0,top
J11,Conn_Coaxial,031532951RFX,317.5,-47.625,0,top
J12,Conn_Coaxial,031532951RFX,342.9,-47.625,0,top
J13,Conn_Coaxial,031532951RFX,368.3,-47.625,0,top
J14,Conn_Coaxial,031532951RFX,393.7,-47.625,0,top
J15,Conn_Coaxial,031532951RFX,419.1,-47.625,0,top
J16,Conn_Coaxial,031532951RFX,444.5,-47.625,0,top
